Country,Year,Unemployment_Rate,GDP,FDI,Population_Rate,Inflation
South Africa,1992,0.20945,1.47E+11,3358018.174,0.020771843,0.138746804
South Africa,1993,0.20819,1.47E+11,11290546.02,0.018311091,0.097174673
South Africa,1994,0.20464,1.54E+11,374410441.1,0.017461124,0.089385249
South Africa,1995,0.20032,1.72E+11,1248424933,0.016596614,0.086804442
South Africa,1996,0.19787,1.63E+11,816389273.8,0.015357562,0.073541134
South Africa,1997,0.19836,1.69E+11,3810543923,0.013959306,0.085977826
South Africa,1998,0.20048,1.53E+11,550338596,0.012523295,0.068805464
South Africa,1999,0.20204,1.52E+11,1503332454,0.011177553,0.051814928
South Africa,2000,0.20069,1.52E+11,968831356,0.009675145,0.05338951
South Africa,2001,0.19887,1.35E+11,7270344986,0.00889594,0.057019002
South Africa,2002,0.19781,1.29E+11,1479804589,0.00914255,0.094947107
South Africa,2003,0.19882,1.97E+11,783136092.3,0.009284934,0.056794177
South Africa,2004,0.19732,2.56E+11,701422007.6,0.009396777,-0.006920303
South Africa,2005,0.19608,2.89E+11,6522098178,0.009495744,0.020628462
South Africa,2006,0.19401,3.04E+11,623291744.3,0.00968251,0.032439078
South Africa,2007,0.19342,3.33E+11,6586792253,0.010190344,0.061778068
South Africa,2008,0.1951,3.16E+11,9885001293,0.01139525,0.100745755
South Africa,2009,0.2051,3.30E+11,7624489974,0.011963953,0.072153141
South Africa,2010,0.2318,4.17E+11,3693271715,0.012001811,0.040897299
South Africa,2011,0.2142,4.58E+11,4139289123,0.012714203,0.04999267
South Africa,2012,0.2179,4.34E+11,4626029122,0.013380311,0.057246579
South Africa,2013,0.2204,4.01E+11,8232518816,0.013709334,0.057844691
South Africa,2014,0.2261,3.81E+11,5791659020,0.015887833,0.061298377
South Africa,2015,0.2287,3.47E+11,1521139945,0.020956741,0.045406423
South Africa,2016,0.2402,3.24E+11,2215307020,0.009767433,0.065713964
South Africa,2017,0.2399,3.81E+11,2058579911,0.003880294,0.051842466
South Africa,2018,0.2422,4.05E+11,5569462350,0.012330704,0.045171652
South Africa,2019,0.2554,3.89E+11,5116098443,0.013034963,0.041202459
South Africa,2020,0.2434,3.38E+11,3153552569,0.012306907,0.03210036
South Africa,2021,0.2877,4.20E+11,40658789145,0.010039263,0.046116722
South Africa,2022,0.2884,4.05E+11,9194808416,0.008446051,0.070397266
Kenya,1992,0.0303,8209120763,6363133.145,0.030833713,0.273323644
Kenya,1993,0.03156,5751786643,145655517.1,0.029855421,0.459788813
Kenya,1994,0.03116,7148148564,7432412.602,0.029218611,0.288143894
Kenya,1995,0.02949,9046320255,42289248.46,0.028492014,0.015543282
Kenya,1996,0.02834,12045865396,108672931.6,0.027434314,0.088640874
Kenya,1997,0.02899,13115764358,62096809.78,0.027105126,0.113618451
Kenya,1998,0.02933,14093998844,26548245.97,0.027256445,0.067224365
Kenya,1999,0.02991,12896010459,51953455.95,0.028408738,0.057420011
Kenya,2000,0.02987,12705350098,110904550.4,0.02958362,0.099800252
Kenya,2001,0.02972,12986007426,5302622.939,0.030751624,0.057385981
Kenya,2002,0.03029,13147736899,27618447.06,0.030800926,0.019613082
Kenya,2003,0.02955,14904517650,81738242.64,0.030119107,0.098156906
Kenya,2004,0.02915,16095337094,46063931.45,0.030346501,0.116240355
Kenya,2005,0.02757,18737895513,21211685.4,0.030213237,0.103127784
Kenya,2006,0.0266,25825512284,50674725.18,0.030193976,0.144537342
Kenya,2007,0.02615,31958195182,729044146,0.030102434,0.097588802
Kenya,2008,0.02771,35895153328,95585680.23,0.030236566,0.262398166
Kenya,2009,0.02865,42347217913,116257609,0.030049561,0.092341259
Kenya,2010,0.02831,45405615064,178064606.8,0.028575917,0.039613889
Kenya,2011,0.02692,46869473151,1450474757,0.026910059,0.14022494
Kenya,2012,0.02659,56396704672,1380173662,0.02558129,0.093777675
Kenya,2013,0.02778,61671440408,1118825000,0.024392049,0.057174936
