Country,Year,Unemployment_Rate,Log_Unemployment,GDP,Log_GDP,FDI,Log_FDI,Population,Log_Population,Population_Rate,Log_Poprate,Inflation,Log_inflation
South Africa,1992,0.20945,-0.678919635,1.47E+11,1.12E+01,3358018.174,6.526083042,41760755,7.620768342,0.020771843,-1.682524977,0.138746804,-0.857777012
South Africa,1993,0.20819,-0.681540135,1.47E+11,1.12E+01,11290546.02,7.052714945,42525440,7.628648816,0.018311091,-1.737285771,0.097174673,-1.012446912
South Africa,1994,0.20464,-0.689009473,1.54E+11,1.12E+01,374410441.1,8.573347951,43267982,7.63616664,0.017461124,-1.757927792,0.089385249,-1.048734146
South Africa,1995,0.20032,-0.698275688,1.72E+11,1.12E+01,1248424933,9.096362434,43986084,7.643315299,0.016596614,-1.779980504,0.086804442,-1.06145805
South Africa,1996,0.19787,-0.703620046,1.63E+11,1.12E+01,816389273.8,8.91189729,44661603,7.649934307,0.015357562,-1.813677731,0.073541134,-1.133469678
South Africa,1997,0.19836,-0.7025459,1.69E+11,1.12E+01,3810543923,9.580986972,45285048,7.655954832,0.013959306,-1.855136161,0.085977826,-1.06561354
South Africa,1998,0.20048,-0.697928946,1.53E+11,1.12E+01,550338596,8.740629972,45852166,7.661359856,0.012523295,-1.902281401,0.068805464,-1.162377072
South Africa,1999,0.20204,-0.69456264,1.52E+11,1.12E+01,1503332454,9.177055033,46364681,7.666187276,0.011177553,-1.951653275,0.051814928,-1.285545101
South Africa,2000,0.20069,-0.697474267,1.52E+11,1.12E+01,968831356,8.986248186,46813266,7.670368941,0.009675145,-2.014342529,0.05338951,-1.272544065
South Africa,2001,0.19887,-0.701430726,1.35E+11,1.11E+01,7270344986,9.861555019,47229714,7.674215316,0.00889594,-2.050808161,0.057019002,-1.243980388
South Africa,2002,0.19781,-0.703751757,1.29E+11,1.11E+01,1479804589,9.17020437,47661514,7.678167834,0.00914255,-2.038932678,0.094947107,-1.022518264
South Africa,2003,0.19882,-0.701539931,1.97E+11,1.13E+01,783136092.3,8.89383724,48104048,7.682181624,0.009284934,-2.032221191,0.056794177,-1.245696189
South Africa,2004,0.19732,-0.704828893,2.56E+11,1.14E+01,701422007.6,8.845979388,48556071,7.686243538,0.009396777,-2.027021091,-0.006920303,#NUM!
South Africa,2005,0.19608,-0.707566702,2.89E+11,1.15E+01,6522098178,9.814387332,49017147,7.69034803,0.009495744,-2.022471021,0.020628462,-1.685533151
South Africa,2006,0.19401,-0.712175884,3.04E+11,1.15E+01,623291744.3,8.794691375,49491756,7.694532863,0.00968251,-2.01401206,0.032439078,-1.488931498
South Africa,2007,0.19342,-0.713498621,3.33E+11,1.15E+01,6586792253,9.818673966,49996094,7.698936076,0.010190344,-1.991811171,0.061778068,-1.209165678
South Africa,2008,0.1951,-0.709742731,3.16E+11,1.15E+01,9885001293,9.99497673,50565812,7.703856986,0.01139525,-1.943276135,0.100745755,-0.996773244
South Africa,2009,0.2051,-0.68803434,3.30E+11,1.15E+01,7624489974,9.882210798,51170779,7.709022029,0.011963953,-1.9221253,0.072153141,-1.141744758
South Africa,2010,0.2318,-0.634886568,4.17E+11,1.16E+01,3693271715,9.56741126,51784921,7.714203318,0.012001811,-1.92075323,0.040897299,-1.388305373
South Africa,2011,0.2142,-0.669180534,4.58E+11,1.17E+01,4139289123,9.616925762,52443325,7.719690219,0.012714203,-1.895710857,0.04999267,-1.301093668
South Africa,2012,0.2179,-0.66174277,4.34E+11,1.16E+01,4626029122,9.665208362,53145033,7.725462681,0.013380311,-1.873533791,0.057246579,-1.242250461
South Africa,2013,0.2204,-0.65678841,4.01E+11,1.16E+01,8232518816,9.915532732,53873616,7.731376126,0.013709334,-1.862983647,0.057844691,-1.237736495
South Africa,2014,0.2261,-0.645699438,3.81E+11,1.16E+01,5791659020,9.762802985,54729551,7.738221885,0.015887833,-1.798935341,0.061298377,-1.212551024
South Africa,2015,0.2287,-0.640733835,3.47E+11,1.15E+01,1521139945,9.182169171,55876504,7.747229226,0.020956741,-1.678676264,0.045406423,-1.342882709
South Africa,2016,0.2402,-0.619426997,3.24E+11,1.15E+01,2215307020,9.345433924,56422274,7.751450586,0.009767433,-2.010219566,0.065713964,-1.182342334
South Africa,2017,0.2399,-0.619969752,3.81E+11,1.16E+01,2058579911,9.31356773,56641209,7.753132515,0.003880294,-2.41113539,0.051842466,-1.285314348
South Africa,2018,0.2422,-0.615825861,4.05E+11,1.16E+01,5569462350,9.745813272,57339635,7.758454924,0.012330704,-1.909012116,0.045171652,-1.345134026
South Africa,2019,0.2554,-0.592779107,3.89E+11,1.16E+01,5116098443,9.708938892,58087055,7.764079358,0.013034963,-1.884890209,0.041202459,-1.385076864
South Africa,2020,0.2434,-0.613679426,3.38E+11,1.15E+01,3153552569,9.498800075,58801927,7.769391559,0.012306907,-1.909851071,0.03210036,-1.493490097
South Africa,2021,0.2877,-0.541060138,4.20E+11,1.16E+01,40658789145,10.60915444,59392255,7.773729815,0.010039263,-1.998298176,0.046116722,-1.33614157
South Africa,2022,0.2884,-0.540004744,4.05E+11,1.16E+01,9194808416,9.963542685,59893885,7.777382484,0.008446051,-2.073346313,0.070397266,-1.152444207
Kenya,1992,0.0303,-1.518557371,8209120763,9.91E+00,6363133.145,6.803671011,24655723,7.391917742,0.030833713,-1.51097417,0.273323644,-0.563322798
Kenya,1993,0.03156,-1.500863005,5751786643,9.76E+00,145655517.1,8.163326939,25391830,7.404694002,0.029855421,-1.524976795,0.459788813,-0.3374416
Kenya,1994,0.03116,-1.506402551,7148148564,9.85E+00,7432412.602,6.871129811,26133744,7.417201633,0.029218611,-1.534340435,0.288143894,-0.540390579
Kenya,1995,0.02949,-1.530325227,9046320255,9.96E+00,42289248.46,7.626229967,26878347,7.429402556,0.028492014,-1.545276851,0.015543282,-1.808457274
Kenya,1996,0.02834,-1.547600154,12045865396,1.01E+01,108672931.6,8.036121383,27615736,7.441156622,0.027434314,-1.561705902,0.088640874,-1.05236597
Kenya,1997,0.02899,-1.537751785,13115764358,1.01E+01,62096809.78,7.793069289,28364264,7.452771519,0.027105126,-1.566948572,0.113618451,-0.944551136
Kenya,1998,0.02933,-1.532687937,14093998844,1.01E+01,26548245.97,7.424035833,29137373,7.464450394,0.027256445,-1.56453079,0.067224365,-1.172473291
Kenya,1999,0.02991,-1.524183587,12896010459,1.01E+01,51953455.95,7.715614442,29965129,7.476616152,0.028408738,-1.546548056,0.057420011,-1.240936729
Kenya,2000,0.02987,-1.524764777,12705350098,1.01E+01,110904550.4,8.044949366,30851606,7.489277776,0.02958362,-1.52894868,0.099800252,-1.000868362
Kenya,2001,0.02972,-1.526951195,12986007426,1.01E+01,5302622.939,6.724490746,31800343,7.502431804,0.030751624,-1.512131938,0.057385981,-1.24119419
Kenya,2002,0.03029,-1.518700727,13147736899,1.01E+01,27618447.06,7.441199255,32779823,7.515606604,0.030800926,-1.511436232,0.019613082,-1.707454156
Kenya,2003,0.02955,-1.529442515,14904517650,1.02E+01,81738242.64,7.912425296,33767122,7.528494047,0.030119107,-1.521157907,0.098156906,-1.008079139
Kenya,2004,0.02915,-1.535361441,16095337094,1.02E+01,46063931.45,7.663361001,34791836,7.541477348,0.030346501,-1.517891377,0.116240355,-0.934643072
Kenya,2005,0.02757,-1.559563234,18737895513,1.03E+01,21211685.4,7.326575177,35843010,7.554404473,0.030213237,-1.519802737,0.103127784,-0.986624314
Kenya,2006,0.0266,-1.575118363,25825512284,1.04E+01,50674725.18,7.704791402,36925253,7.56732348,0.030193976,-1.520079688,0.144537342,-0.840019936
Kenya,2007,0.02615,-1.582528307,31958195182,1.05E+01,729044146,8.862753827,38036793,7.580203893,0.030102434,-1.521398384,0.097588802,-1.010600013
Kenya,2008,0.02771,-1.557363474,35895153328,1.06E+01,95585680.23,7.980392835,39186895,7.593140853,0.030236566,-1.519467534,0.262398166,-0.581039205
Kenya,2009,0.02865,-1.542875374,42347217913,1.06E+01,116257609,8.065421387,40364444,7.605998975,0.030049561,-1.522161865,0.092341259,-1.034604208
Kenya,2010,0.02831,-1.548060131,45405615064,1.07E+01,178064606.8,8.250577605,41517895,7.618235326,0.028575917,-1.543999825,0.039613889,-1.40215252
Kenya,2011,0.02692,-1.569924944,46869473151,1.07E+01,1450474757,9.161510175,42635144,7.629767734,0.026910059,-1.570085352,0.14022494,-0.853174737
Kenya,2012,0.02659,-1.575281663,56396704672,1.08E+01,1380173662,9.139933735,43725806,7.640737824,0.02558129,-1.592077552,0.093777675,-1.027900539
Kenya,2013,0.02778,-1.556267759,61671440408,1.08E+01,1118825000,9.048762162,44792368,7.651204023,0.024392049,-1.612751717,0.057174936,-1.242794313
Kenya,2014,0.02782,-1.555642874,68285796514,1.08E+01,820937598.4,8.914310147,45831863,7.661167511,0.023206967,-1.634381618,0.06878155,-1.162528042
Kenya,2015,0.02771,-1.557363474,70120446897,1.08E+01,619724465,8.792198641,46851488,7.670723389,0.022247077,-1.652727036,0.065821744,-1.181630615
Kenya,2016,0.0276,-1.559090918,74815144164,1.09E+01,469533310.7,8.671666408,47894670,7.680287185,0.022265718,-1.652363304,0.062971575,-1.200855444
