Country,Year,Unemployment_Rate,GDP,FDI,Population,Inflation
South Africa,1992,0.20945,1.47E+11,3358018.174,41760755,0.138746804
South Africa,1993,0.20819,1.47E+11,11290546.02,42525440,0.097174673
South Africa,1994,0.20464,1.54E+11,374410441.1,43267982,0.089385249
South Africa,1995,0.20032,1.72E+11,1248424933,43986084,0.086804442
South Africa,1996,0.19787,1.63E+11,816389273.8,44661603,0.073541134
South Africa,1997,0.19836,1.69E+11,3810543923,45285048,0.085977826
South Africa,1998,0.20048,1.53E+11,550338596,45852166,0.068805464
South Africa,1999,0.20204,1.52E+11,1503332454,46364681,0.051814928
South Africa,2000,0.20069,1.52E+11,968831356,46813266,0.05338951
South Africa,2001,0.19887,1.35E+11,7270344986,47229714,0.057019002
South Africa,2002,0.19781,1.29E+11,1479804589,47661514,0.094947107
South Africa,2003,0.19882,1.97E+11,783136092.3,48104048,0.056794177
South Africa,2004,0.19732,2.56E+11,701422007.6,48556071,-0.006920303
South Africa,2005,0.19608,2.89E+11,6522098178,49017147,0.020628462
South Africa,2006,0.19401,3.04E+11,623291744.3,49491756,0.032439078
South Africa,2007,0.19342,3.33E+11,6586792253,49996094,0.061778068
South Africa,2008,0.1951,3.16E+11,9885001293,50565812,0.100745755
South Africa,2009,0.2051,3.30E+11,7624489974,51170779,0.072153141
South Africa,2010,0.2318,4.17E+11,3693271715,51784921,0.040897299
South Africa,2011,0.2142,4.58E+11,4139289123,52443325,0.04999267
South Africa,2012,0.2179,4.34E+11,4626029122,53145033,0.057246579
South Africa,2013,0.2204,4.01E+11,8232518816,53873616,0.057844691
South Africa,2014,0.2261,3.81E+11,5791659020,54729551,0.061298377
South Africa,2015,0.2287,3.47E+11,1521139945,55876504,0.045406423
South Africa,2016,0.2402,3.24E+11,2215307020,56422274,0.065713964
South Africa,2017,0.2399,3.81E+11,2058579911,56641209,0.051842466
South Africa,2018,0.2422,4.05E+11,5569462350,57339635,0.045171652
South Africa,2019,0.2554,3.89E+11,5116098443,58087055,0.041202459
South Africa,2020,0.2434,3.38E+11,3153552569,58801927,0.03210036
South Africa,2021,0.2877,4.20E+11,40658789145,59392255,0.046116722
South Africa,2022,0.2884,4.05E+11,9194808416,59893885,0.070397266
